,,,,,,,,,,Month Year,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,Apr-17,May-17,May-17,May-17,May-17,May-17,May-17,May-17,May-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jun-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Jul-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Aug-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Sep-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Oct-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Nov-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Dec-17,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Jan-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Feb-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Mar-18,Total,Total,Total,Total,Total,Total,Total,Total
31,PC - 3,Nikolia Shirl,Level 4,Location 1,Client Service Staff,Confirmed Staff,Kalindi Toma,30-04-2008,Active,,160,128,8.00,32.00,0.00,32.00,88.00,6.25%,184,184,0.00,0.00,0.00,16.00,168.00,0.00%,176,168,48.00,8.00,0.00,0.00,120.00,28.57%,168,168,38.00,0.00,0.00,0.00,122.00,22.62%,184,160,140.00,24.00,0.00,0.00,36.00,87.50%,168,152,176.00,16.00,0.00,0.00,-24.00,115.79%,176,152,136.00,24.00,0.00,0.00,16.00,89.47%,176,168,48.00,8.00,0.00,0.00,120.00,28.57%,168,128,40.00,40.00,0.00,0.00,88.00,31.25%,184,168,96.00,16.00,0.00,0.00,72.00,57.14%,160,160,160.00,0.00,0.00,0.00,0.00,100.00%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,"2,080",1912,"1,066.00",168.00,0.00,48.00,806.00,55.75%
32,PC - 1,Gisella Nickie,Level 4,Location 3,Client Service Staff,Confirmed Staff,Jordanna Danya,31-05-2008,Active,,160,160,6.00,0.00,0.00,0.00,160.00,3.75%,184,176,121.00,0.00,8.00,0.00,176.00,68.75%,176,176,99.00,0.00,0.00,0.00,168.00,56.25%,168,112,0.00,40.00,16.00,0.00,112.00,0.00%,184,176,61.00,8.00,0.00,0.00,157.00,34.66%,168,160,109.00,8.00,0.00,0.00,58.00,68.13%,176,136,84.00,40.00,0.00,0.00,52.00,61.76%,176,176,90.00,0.00,0.00,0.00,90.00,51.14%,168,128,48.00,40.00,0.00,0.00,80.00,37.50%,184,144,120.00,40.00,0.00,0.00,24.00,83.33%,160,160,6.00,0.00,0.00,0.00,154.00,3.75%,176,155,60.00,16.00,5.00,0.00,95.00,38.71%,"2,080",1859,804.00,192.00,29.00,0.00,"1,326.00",43.25%
33,PC - 1,Blondy Tatiania,Level 5,Location 3,Client Service Staff,Confirmed Staff,Irene Candis,31-05-2008,Active,,160,152,86.00,8.00,0.00,0.00,66.00,56.58%,184,136,56.00,48.00,0.00,0.00,56.00,41.18%,176,152,66.00,16.00,8.00,0.00,110.00,43.42%,168,159,40.00,0.00,9.00,0.00,111.00,25.16%,184,88,10.00,96.00,0.00,0.00,54.00,11.36%,168,-4,11.00,172.00,0.00,0.00,17.00,-275.00%,176,0,0.00,176.00,0.00,0.00,0.00,-,176,0,0.00,176.00,0.00,0.00,0.00,-,168,96.5,0.00,64.00,7.50,0.00,96.50,0.00%,184,168,0.00,16.00,0.00,0.00,168.00,0.00%,160,160,78.00,0.00,0.00,0.00,82.00,48.75%,176,160,88.00,16.00,0.00,0.00,72.00,55.00%,"2,080",1267.5,435.00,788.00,24.50,0.00,832.50,34.32%
34,PC - 1,Beverlee Giana,Level A2,Location 3,Support Staff,Confirmed Staff,Idalina Lauraine,30-11-2008,Active,,160,152,0.00,8.00,0.00,0.00,152.00,0.00%,184,184,0.00,0.00,0.00,0.00,184.00,0.00%,176,168,0.00,8.00,0.00,0.00,168.00,0.00%,168,168,0.00,0.00,0.00,0.00,160.00,0.00%,184,160,0.00,24.00,0.00,0.00,168.00,0.00%,168,152,0.00,16.00,0.00,0.00,152.00,0.00%,176,152,0.00,24.00,0.00,0.00,152.00,0.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,168,64,0.00,104.00,0.00,0.00,64.00,0.00%,184,152,0.00,32.00,0.00,0.00,152.00,0.00%,160,160,0.00,0.00,0.00,0.00,160.00,0.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,"2,080",1864,0.00,216.00,0.00,0.00,"1,864.00",0.00%
35,PC - 3,Alika Malia,Level 6,Location 2,Client Service Staff,Confirmed Staff,Kynthia Hildy,30-11-2008,Active,,160,144,48.00,16.00,0.00,0.00,96.00,33.33%,184,112,32.00,72.00,0.00,0.00,80.00,28.57%,176,172.5,196.50,0.00,3.50,0.00,-24.00,113.91%,168,148.5,40.00,0.00,19.50,0.00,100.50,26.94%,184,88,0.00,96.00,0.00,0.00,64.00,0.00%,168,120,0.00,48.00,0.00,0.00,152.00,0.00%,176,144,308.00,32.00,0.00,0.00,-24.00,213.89%,176,176,188.00,0.00,0.00,0.00,0.00,106.82%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,160,128.00,24.00,0.00,0.00,32.00,80.00%,160,152,208.00,8.00,0.00,0.00,-32.00,136.84%,176,152,16.00,24.00,0.00,0.00,136.00,10.53%,"2,080",1697,"1,292.50",360.00,23.00,0.00,580.50,76.16%
37,PC - 2,Terza Gwyn,Level 4,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,31-05-2009,Active,,160,152,48.00,8.00,0.00,0.00,104.00,31.58%,184,144,72.00,40.00,0.00,0.00,72.00,50.00%,176,156,64.00,0.00,20.00,0.00,96.00,41.03%,168,168,32.00,0.00,0.00,0.00,128.00,19.05%,184,160,33.00,24.00,0.00,0.00,136.00,20.63%,168,160,72.00,8.00,0.00,0.00,88.00,45.00%,176,152,152.00,24.00,0.00,0.00,0.00,100.00%,176,120,58.00,56.00,0.00,0.00,62.00,48.33%,168,104,48.00,40.00,24.00,0.00,64.00,46.15%,184,144,100.00,16.00,24.00,0.00,52.00,69.44%,160,160,64.00,0.00,0.00,0.00,96.00,40.00%,176,160,64.00,16.00,0.00,24.00,80.00,40.00%,"2,080",1780,807.00,232.00,68.00,24.00,978.00,45.34%
38,PC - 3,Genvieve Celeste,Level 5,Location 4,Client Service Staff,Confirmed Staff,Oriana Tabby,30-06-2009,Active,,160,152,148.00,8.00,0.00,4.00,0.00,97.37%,184,168,165.00,8.00,8.00,0.00,4.00,98.21%,176,156.5,66.00,16.00,3.50,0.00,90.00,42.17%,168,164,40.00,4.00,0.00,0.00,116.00,24.39%,184,128,182.00,56.00,0.00,0.00,-32.00,142.19%,168,160,120.00,8.00,0.00,0.00,40.00,75.00%,176,120,0.00,56.00,0.00,0.00,120.00,0.00%,176,96,6.00,80.00,0.00,0.00,90.00,6.25%,168,104,10.00,64.00,0.00,0.00,94.00,9.62%,184,168,0.00,16.00,0.00,0.00,168.00,0.00%,160,160,0.00,0.00,0.00,0.00,160.00,0.00%,176,168,199.00,8.00,0.00,0.00,-30.00,118.45%,"2,080",1744.5,936.00,324.00,11.50,4.00,820.00,53.65%
39,PC - 3,Kim Consuela,Level A2,Location 1,Support Staff,Confirmed Staff,Cacilia Aimee,30-06-2009,Active,,160,152,0.00,8.00,0.00,0.00,190.00,0.00%,184,176,0.00,8.00,0.00,0.00,220.00,0.00%,176,88,0.00,88.00,0.00,0.00,108.00,0.00%,168,168,0.00,0.00,0.00,0.00,210.00,0.00%,184,168,0.00,16.00,0.00,0.00,210.00,0.00%,168,160,0.00,8.00,0.00,0.00,200.00,0.00%,176,128,0.00,48.00,0.00,0.00,167.00,0.00%,176,167.5,0.00,8.00,0.50,0.00,206.00,0.00%,168,128,0.00,40.00,0.00,0.00,171.00,0.00%,184,159,0.00,24.00,1.00,0.00,199.00,0.00%,160,136,0.00,24.00,0.00,0.00,170.00,0.00%,176,154.5,0.00,8.00,13.50,0.00,206.00,0.00%,"2,080",1785,0.00,280.00,15.00,0.00,"2,257.00",0.00%
40,PC - 1,Nerissa Jackquelin,Level 5,Location 3,Client Service Staff,Confirmed Staff,Ardys Katerine,30-06-2009,Active,,160,120,32.00,32.00,8.00,0.00,88.00,26.67%,184,176,32.00,8.00,0.00,0.00,144.00,18.18%,176,144,72.00,24.00,8.00,0.00,72.00,50.00%,168,160,88.00,0.00,8.00,0.00,65.00,55.00%,184,144,68.00,40.00,0.00,0.00,84.00,47.22%,168,160,62.00,8.00,0.00,0.00,98.00,38.75%,176,152,60.00,24.00,0.00,0.00,92.00,39.47%,176,168,32.60,8.00,0.00,0.00,136.00,19.40%,168,120,30.00,48.00,0.00,0.00,90.00,25.00%,184,144,64.00,40.00,0.00,0.00,56.00,44.44%,160,136,64.00,24.00,0.00,0.00,104.00,47.06%,176,160,68.00,16.00,0.00,0.00,92.00,42.50%,"2,080",1784,672.60,272.00,24.00,0.00,"1,121.00",37.70%
41,PC - 2,Frances Mignonne,Level 4,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,30-06-2009,Active,,160,112,0.00,48.00,0.00,0.00,112.00,0.00%,184,176,30.00,8.00,0.00,0.00,154.00,17.05%,176,168,88.00,8.00,0.00,0.00,104.00,52.38%,168,168,12.00,0.00,0.00,0.00,164.00,7.14%,184,126,56.00,40.00,18.00,0.00,84.00,44.44%,168,160,88.00,8.00,0.00,0.00,72.00,55.00%,176,128,14.00,48.00,0.00,0.00,114.00,10.94%,176,176,50.00,0.00,0.00,0.00,126.00,28.41%,168,96,0.00,48.00,24.00,0.00,104.00,0.00%,184,159,58.00,8.00,17.00,0.00,85.00,36.48%,160,160,0.00,0.00,0.00,0.00,184.00,0.00%,176,136,20.00,40.00,0.00,0.00,116.00,14.71%,"2,080",1765,416.00,256.00,59.00,0.00,"1,419.00",23.57%
43,PC - 3,Moira Vivien,Level 5,Location 2,Client Service Staff,Confirmed Staff,Kynthia Hildy,31-08-2009,Active,,160,152,0.00,8.00,0.00,0.00,152.00,0.00%,184,184,131.00,0.00,0.00,0.00,53.00,71.20%,176,154.5,96.00,0.00,21.50,0.00,64.00,62.14%,168,163,66.00,0.00,5.00,16.00,81.00,40.49%,184,130,16.00,16.00,38.00,8.00,132.00,12.31%,168,159,152.00,8.00,1.00,0.00,8.00,95.60%,176,152,0.00,24.00,0.00,64.00,88.00,0.00%,176,166.5,52.00,0.00,9.50,40.00,82.50,31.23%,168,111.5,12.00,40.00,16.50,64.00,57.50,10.76%,184,120,51.00,64.00,0.00,0.00,69.00,42.50%,160,152,24.00,8.00,0.00,0.00,128.00,15.79%,176,166.5,96.00,8.00,1.50,0.00,72.00,57.66%,"2,080",1811,696.00,176.00,93.00,192.00,987.00,38.43%
44,PC - 1,Erminie Ericka,Level 3,Location 3,Client Service Staff,Confirmed Staff,Alvinia Ede,31-08-2009,Active,,160,160,25.00,0.00,0.00,135.00,0.00,15.63%,184,184,41.00,0.00,0.00,143.00,0.00,22.28%,176,176,99.00,0.00,0.00,77.00,0.00,56.25%,168,168,51.00,0.00,0.00,85.00,24.00,30.36%,184,176,73.00,8.00,0.00,84.00,0.00,41.48%,168,160,88.00,8.00,0.00,103.00,0.00,55.00%,176,160,31.00,16.00,0.00,131.00,0.00,19.38%,176,176,49.00,0.00,0.00,130.00,0.00,27.84%,168,125.5,24.00,40.00,2.50,103.50,0.00,19.12%,184,168,21.00,16.00,0.00,123.00,0.00,12.50%,160,160,39.00,0.00,0.00,145.00,0.00,24.38%,176,116,2.50,60.00,0.00,113.50,0.00,2.16%,"2,080",1929.5,543.50,148.00,2.50,"1,373.00",24.00,28.17%
45,PC - 5,Jenny Kasey,Level 7,Location 1,Client Service Staff,Resigned,Orsa Margeaux,31-01-2010,Resigned,30-06-2017,160,144,172.00,16.00,0.00,0.00,0.00,119.44%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,96,80,80.00,16.00,0.00,0.00,0.00,100.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,440,392,420.00,48.00,0.00,0.00,0.00,107.14%
46,PC - 1,Kirsti Vikky,Level 6,Location 3,Client Service Staff,Confirmed Staff,Irene Candis,31-01-2010,Active,,160,144,96.00,16.00,0.00,0.00,48.00,66.67%,184,184,92.00,0.00,0.00,0.00,92.00,50.00%,176,168,140.00,8.00,0.00,0.00,28.00,83.33%,168,152,138.00,0.00,16.00,0.00,6.00,90.79%,184,96,90.00,88.00,0.00,0.00,14.00,93.75%,168,160,140.00,8.00,0.00,0.00,20.00,87.50%,176,152,84.00,24.00,0.00,0.00,68.00,55.26%,176,176,192.00,0.00,0.00,0.00,-16.00,109.09%,168,124,0.00,40.00,4.00,0.00,124.00,0.00%,184,168,288.00,16.00,0.00,0.00,-120.00,171.43%,160,136,136.00,24.00,0.00,0.00,0.00,100.00%,176,112,112.00,64.00,0.00,0.00,0.00,100.00%,"2,080",1772,"1,508.00",288.00,20.00,0.00,264.00,85.10%
47,PC - 2,Annmaria Alissa,Level 6,Location 7,Client Service Staff,Confirmed Staff,Dore Natalya,28-02-2010,Active,,160,160,120.00,0.00,0.00,0.00,0.00,75.00%,184,176,176.00,8.00,0.00,0.00,0.00,100.00%,176,160,144.00,16.00,0.00,16.00,0.00,90.00%,168,168,40.00,0.00,0.00,120.00,0.00,23.81%,184,152,168.00,32.00,0.00,-8.00,0.00,110.53%,168,136,160.00,32.00,0.00,-24.00,0.00,117.65%,176,160,80.00,16.00,0.00,80.00,0.00,50.00%,176,176,64.00,0.00,0.00,112.00,0.00,36.36%,168,168,296.00,0.00,0.00,-128.00,0.00,176.19%,184,176,152.00,8.00,0.00,0.00,0.00,86.36%,160,160,80.00,0.00,0.00,0.00,104.00,50.00%,176,56,0.00,120.00,0.00,0.00,56.00,0.00%,"2,080",1848,"1,480.00",232.00,0.00,168.00,160.00,80.09%
48,PC - 2,Philippe Kizzie,Level 4,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,31-03-2010,Active,,160,152,21.00,8.00,0.00,88.00,43.00,13.82%,184,168,67.00,16.00,0.00,66.00,38.00,39.88%,176,136,63.00,40.00,0.00,38.00,45.00,46.32%,168,139,61.00,0.00,29.00,46.00,48.00,43.88%,184,136,27.00,48.00,0.00,58.00,55.00,19.85%,168,152,81.00,16.00,0.00,28.50,43.50,53.29%,176,128,8.00,48.00,0.00,58.00,62.00,6.25%,176,152,49.00,24.00,0.00,44.00,60.00,32.24%,168,128,12.00,40.00,0.00,52.00,64.00,9.38%,184,168,40.00,16.00,0.00,56.00,76.00,23.81%,160,152,44.00,8.00,0.00,44.00,64.00,28.95%,176,160,18.50,16.00,0.00,67.50,74.00,11.56%,"2,080",1771,491.50,280.00,29.00,646.00,672.50,27.75%
49,PC - 2,Orelee Hanna,Level 4,Location 9,Client Service Staff,Confirmed Staff,Marleah Bernadina,30-04-2010,Active,,160,160,1.00,0.00,0.00,0.00,159.00,0.63%,184,176,197.00,8.00,0.00,0.00,-20.00,111.93%,176,176,168.00,0.00,0.00,0.00,8.00,95.45%,168,168,121.00,0.00,0.00,0.00,39.00,72.02%,184,184,6.00,0.00,0.00,0.00,189.00,3.26%,168,168,66.00,0.00,0.00,0.00,101.00,39.29%,176,160,103.00,16.00,0.00,0.00,57.00,64.38%,176,176,24.00,0.00,0.00,0.00,152.00,13.64%,168,128,32.00,40.00,0.00,0.00,96.00,25.00%,184,136,34.00,48.00,0.00,0.00,78.00,25.00%,160,96,19.00,64.00,0.00,0.00,106.00,19.79%,176,160,0.00,16.00,0.00,0.00,160.00,0.00%,"2,080",1888,771.00,192.00,0.00,0.00,"1,125.00",40.84%
50,PC - 2,Leta Evangeline,Level 5,Location 7,Client Service Staff,Resigned,Tallia Eyde,31-05-2010,Resigned,30-09-2017,160,152,8.00,8.00,0.00,0.00,144.00,5.26%,184,184,32.00,0.00,0.00,0.00,160.00,17.39%,176,88,48.00,88.00,0.00,0.00,32.00,54.55%,168,168,104.00,0.00,0.00,0.00,64.00,61.90%,184,160,0.00,24.00,0.00,0.00,168.00,0.00%,112,112,0.00,0.00,0.00,0.00,128.00,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,984,864,192.00,120.00,0.00,0.00,696.00,22.22%
51,PC - 3,Leilah Nanni,Level 5,Location 1,Client Service Staff,Confirmed Staff,Revkah Stephie,31-05-2010,Active,,160,144,139.00,16.00,0.00,0.00,0.00,96.53%,184,184,304.00,0.00,0.00,0.00,0.00,165.22%,176,176,601.00,0.00,0.00,0.00,0.00,341.48%,168,136,136.00,32.00,0.00,0.00,0.00,100.00%,184,144,144.00,40.00,0.00,0.00,0.00,100.00%,168,144,144.00,24.00,0.00,0.00,0.00,100.00%,176,159,149.00,16.00,1.00,0.00,15.00,93.71%,176,176,186.00,0.00,0.00,0.00,0.00,105.68%,168,160,160.00,8.00,0.00,0.00,0.00,100.00%,184,152,214.00,32.00,0.00,0.00,0.00,140.79%,160,160,216.00,0.00,0.00,0.00,8.00,135.00%,176,144,276.00,32.00,0.00,0.00,-8.00,191.67%,"2,080",1879,"2,669.00",200.00,1.00,0.00,15.00,142.04%
52,PC - 3,Kathye Edna,Level 5,Location 1,Client Service Staff,Confirmed Staff,Tallia Eyde,31-05-2010,Active,,160,160,8.00,0.00,0.00,0.00,112.00,5.00%,184,168,1.00,16.00,0.00,0.00,207.00,0.60%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,168,168,25.00,0.00,0.00,0.00,143.00,14.88%,184,176,0.00,8.00,0.00,0.00,176.00,0.00%,168,168,80.00,0.00,0.00,0.00,88.00,47.62%,176,176,96.00,0.00,0.00,0.00,80.00,54.55%,176,176,16.00,0.00,0.00,0.00,160.00,9.09%,168,128,0.00,40.00,0.00,0.00,128.00,0.00%,184,174,16.00,8.00,2.00,0.00,158.00,9.20%,160,160,24.00,0.00,0.00,0.00,136.00,15.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,"2,080",2006,266.00,72.00,2.00,0.00,"1,740.00",13.26%
56,PC - 3,Madelyn Shane,Level 6,Location 1,Client Service Staff,Confirmed Staff,Dottie Bidget,31-05-2010,Active,,160,152,112.00,8.00,0.00,0.00,40.00,73.68%,184,176,124.00,8.00,0.00,0.00,52.00,70.45%,176,150,80.00,8.00,18.00,0.00,76.00,53.33%,168,168,200.00,0.00,0.00,0.00,64.00,119.05%,184,160,160.00,16.00,8.00,0.00,0.00,100.00%,168,136,136.00,32.00,0.00,0.00,0.00,100.00%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,176,160,160.00,16.00,0.00,0.00,0.00,100.00%,168,128,128.00,40.00,0.00,0.00,0.00,100.00%,184,168,168.00,16.00,0.00,0.00,0.00,100.00%,160,96,96.00,64.00,0.00,0.00,0.00,100.00%,176,72,72.00,104.00,0.00,0.00,0.00,100.00%,"2,080",1726,"1,596.00",328.00,26.00,0.00,232.00,92.47%
57,PC - 3,Celka Dorree,Level 5,Location 1,Client Service Staff,Confirmed Staff (Part-Time 4 Hours),Marina Garnette,31-08-2010,Active,,160,0,0.00,160.00,0.00,0.00,0.00,-,184,24,0.00,160.00,0.00,0.00,0.00,0.00%,176,-24,0.00,200.00,0.00,0.00,0.00,0.00%,168,0,0.00,168.00,0.00,0.00,0.00,-,184,0,0.00,184.00,0.00,0.00,0.00,-,168,0,0.00,168.00,0.00,0.00,0.00,-,176,16,0.00,160.00,0.00,0.00,0.00,0.00%,176,-16,0.00,192.00,0.00,0.00,0.00,0.00%,168,0,0.00,168.00,0.00,0.00,0.00,-,184,0,0.00,184.00,0.00,0.00,0.00,-,160,0,0.00,160.00,0.00,0.00,0.00,-,176,0,0.00,176.00,0.00,0.00,0.00,-,"2,080",0,0.00,"2,080.00",0.00,0.00,0.00,-
58,PC - 2,Tallulah Kassia,Level 5,Location 7,Client Service Staff,Confirmed Staff,Kevin Perez,31-08-2010,Active,,160,0,0.00,160.00,0.00,0.00,0.00,-,184,81,6.00,84.00,19.00,8.00,67.00,7.41%,176,156,17.00,12.00,8.00,48.00,91.00,10.90%,168,168,138.00,0.00,0.00,6.00,16.00,82.14%,184,152,28.00,32.00,0.00,100.00,32.00,18.42%,168,114,118.00,48.00,6.00,1.00,-4.00,103.51%,176,148,124.00,28.00,0.00,17.00,27.00,83.78%,176,157,140.00,16.00,3.00,47.00,32.00,89.17%,168,128,169.00,40.00,0.00,-41.00,0.00,132.03%,184,160,168.00,8.00,16.00,0.00,0.00,105.00%,160,156,158.00,4.00,0.00,0.00,0.00,101.28%,176,152,168.00,24.00,0.00,0.00,4.00,110.53%,"2,080",1572,"1,234.00",456.00,52.00,186.00,265.00,78.50%
59,PC - 2,Aimil Latisha,Level 5,Location 7,Client Service Staff,Confirmed Staff,Annnora Gabrielle,31-08-2010,Active,,160,152,145.50,8.00,0.00,0.00,60.50,95.72%,184,144,77.00,40.00,0.00,0.00,96.50,53.47%,176,168,99.00,8.00,0.00,0.00,123.00,58.93%,168,152,25.00,16.00,0.00,0.00,142.00,16.45%,184,120,412.00,64.00,0.00,0.00,-227.00,343.33%,168,160,2.00,8.00,0.00,0.00,160.00,1.25%,176,121,87.00,52.00,3.00,0.00,35.00,71.90%,176,160,209.00,8.00,8.00,0.00,-13.00,130.63%,168,112,81.00,56.00,0.00,0.00,32.00,72.32%,184,168,98.00,16.00,0.00,0.00,63.00,58.33%,160,148,159.00,12.00,0.00,0.00,4.00,107.43%,176,128,88.00,48.00,0.00,0.00,64.00,68.75%,"2,080",1733,"1,482.50",336.00,11.00,0.00,540.00,85.55%
60,PC - 2,Pamelina Shalna,Level 4,Location 7,Client Service Staff,Secondee-Outward-Without Pay,Daryl Natalina,30-09-2010,Secondment,,160,160,24.00,0.00,0.00,0.00,136.00,15.00%,184,176,8.00,8.00,0.00,0.00,168.00,4.55%,176,168,5.00,8.00,0.00,0.00,163.00,2.98%,168,168,0.00,0.00,0.00,0.00,160.00,0.00%,184,168,0.00,8.00,8.00,0.00,184.00,0.00%,88,16,0.00,72.00,0.00,0.00,56.00,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,960,856,37.00,96.00,8.00,0.00,867.00,4.32%
61,PC - 2,Jillian Lorelei,Level 4,Location 7,Client Service Staff,Confirmed Staff,Daryl Natalina,30-09-2010,Active,,160,160,2.00,0.00,0.00,160.00,0.00,1.25%,184,176,12.00,8.00,0.00,164.00,0.00,6.82%,176,176,24.00,0.00,0.00,32.00,120.00,13.64%,168,168,45.00,0.00,0.00,-29.00,152.00,26.79%,184,144,233.00,24.00,16.00,56.00,-112.00,161.81%,168,168,160.00,0.00,0.00,8.00,0.00,95.24%,176,128,136.00,48.00,0.00,0.00,0.00,106.25%,176,176,176.00,0.00,0.00,0.00,0.00,100.00%,168,96,63.00,40.00,32.00,0.00,53.00,65.63%,184,184,0.00,0.00,0.00,0.00,160.00,0.00%,160,120,68.20,40.00,0.00,0.00,80.00,56.83%,176,168,96.00,8.00,0.00,16.00,56.00,57.14%,"2,080",1864,"1,015.20",168.00,48.00,407.00,509.00,54.46%
63,PC - 3,Tarah Sean,Level A3,Location 1,Support Staff,Confirmed Staff,Kalindi Toma,30-11-2010,Active,,160,144,0.00,16.00,0.00,0.00,144.00,0.00%,184,136,0.00,48.00,0.00,0.00,136.00,0.00%,176,168,0.00,8.00,0.00,0.00,168.00,0.00%,168,160,0.00,8.00,0.00,0.00,160.00,0.00%,184,156,0.00,28.00,0.00,0.00,156.00,0.00%,168,152,0.00,16.00,0.00,0.00,152.00,0.00%,176,160,0.00,16.00,0.00,0.00,160.00,0.00%,176,151.5,0.00,24.00,0.50,0.00,151.50,0.00%,168,88,0.00,80.00,0.00,0.00,88.00,0.00%,184,160,0.00,24.00,0.00,0.00,160.00,0.00%,160,160,0.00,0.00,0.00,0.00,160.00,0.00%,176,152,0.00,24.00,0.00,0.00,152.00,0.00%,"2,080",1787.5,0.00,292.00,0.50,0.00,"1,787.50",0.00%
64,PC - 2,Chiarra Constancy,Level A2,Location 7,Support Staff,Confirmed Staff,Daryl Natalina,30-11-2010,Active,,160,152,0.00,8.00,0.00,0.00,152.00,0.00%,184,168,0.00,16.00,0.00,0.00,168.00,0.00%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,168,160,0.00,8.00,0.00,0.00,160.00,0.00%,184,72,0.00,112.00,0.00,0.00,72.00,0.00%,168,160,0.00,8.00,0.00,0.00,160.00,0.00%,176,152,0.00,24.00,0.00,0.00,148.00,0.00%,176,175.5,0.00,0.00,0.50,0.00,177.50,0.00%,168,128,0.00,40.00,0.00,0.00,128.00,0.00%,184,176,0.00,8.00,0.00,0.00,183.00,0.00%,160,136,0.00,24.00,0.00,0.00,144.00,0.00%,176,160,0.00,16.00,0.00,0.00,160.00,0.00%,"2,080",1815.5,0.00,264.00,0.50,0.00,"1,828.50",0.00%
66,PC - 3,Leela Jsandye,Level 6,Location 2,Client Service Staff,Resigned,Vonni Bethena,31-01-2011,Resigned,31-10-2017,160,152,2.00,8.00,0.00,0.00,150.00,1.32%,184,182.5,187.50,0.00,1.50,0.00,-5.00,102.74%,176,152,0.00,24.00,0.00,0.00,152.00,0.00%,168,144,54.00,0.00,24.00,0.00,98.00,37.50%,184,136,32.00,48.00,0.00,0.00,104.00,23.53%,168,168,8.00,0.00,0.00,0.00,160.00,4.76%,40,40,0.00,0.00,0.00,0.00,40.00,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,080",974.5,283.50,80.00,25.50,0.00,699.00,29.09%
67,PC - 2,Ruthe Bellina,Level 5,Location 9,Client Service Staff,Confirmed Staff,Lenora Nydia,31-01-2011,Active,,160,160,0.00,0.00,0.00,0.00,160.00,0.00%,184,172,79.00,8.00,4.00,0.00,93.00,45.93%,176,168,63.00,8.00,0.00,0.00,105.00,37.50%,168,168,0.00,0.00,0.00,0.00,168.00,0.00%,184,184,0.00,0.00,0.00,0.00,184.00,0.00%,168,61,150.00,80.00,27.00,0.00,-81.00,245.90%,176,168,64.00,8.00,0.00,0.00,104.00,38.10%,176,176,0.00,0.00,0.00,0.00,176.00,0.00%,168,168,192.00,0.00,0.00,0.00,-24.00,114.29%,184,184,0.00,0.00,0.00,0.00,184.00,0.00%,160,144,72.00,16.00,0.00,0.00,72.00,50.00%,176,176,80.00,0.00,0.00,0.00,96.00,45.45%,"2,080",1929,700.00,120.00,31.00,0.00,"1,237.00",36.29%
